date,South_Africa_s,South_Africa
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-25,,
2020-01-26,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-01,,
2020-02-02,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-08,,
2020-02-09,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-15,,
2020-02-16,,
2020-02-17,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-22,,
2020-02-23,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-02-29,,
2020-03-01,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,1,1
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,2,2
2020-03-09,0,0
2020-03-10,4,4
2020-03-11,6,6
2020-03-12,4,4
2020-03-13,7,7
2020-03-14,14,14
2020-03-15,13,13
2020-03-16,11,11
2020-03-17,0,0
2020-03-18,54,54
2020-03-19,34,34
2020-03-20,52,52
2020-03-21,38,38
2020-03-22,34,34
2020-03-23,128,128
2020-03-24,152,152
2020-03-25,155,155
2020-03-26,218,218
2020-03-27,243,243
2020-03-28,17,17
2020-03-29,93,93
2020-03-30,46,46
2020-03-31,27,27
2020-04-01,27,27
2020-04-02,82,82
2020-04-03,43,43
2020-04-04,80,80
2020-04-05,70,70
2020-04-06,31,31
2020-04-07,63,63
2020-04-08,96,96
2020-04-09,89,89
2020-04-10,69,69
2020-04-11,25,25
2020-04-12,145,145
2020-04-13,99,99
2020-04-14,143,143
2020-04-15,91,91
2020-04-16,99,99
2020-04-17,178,178
2020-04-18,251,251
2020-04-19,124,124
2020-04-20,142,142
2020-04-21,165,165
2020-04-22,170,170
2020-04-23,318,318
2020-04-24,267,267
2020-04-25,141,141
2020-04-26,185,185
2020-04-27,247,247
2020-04-28,203,203
2020-04-29,354,354
2020-04-30,297,297
2020-05-01,304,304
2020-05-02,385,385
2020-05-03,447,447
2020-05-04,437,437
2020-05-05,352,352
2020-05-06,236,236
2020-05-07,424,424
2020-05-08,663,663
2020-05-09,525,525
2020-05-10,595,595
2020-05-11,637,637
2020-05-12,698,698
2020-05-13,724,724
2020-05-14,665,665
2020-05-15,785,785
2020-05-16,831,831
2020-05-17,1160,1160
2020-05-18,918,918
2020-05-19,767,767
2020-05-20,803,803
2020-05-21,1134,1134
2020-05-22,988,988
2020-05-23,1218,1218
2020-05-24,1240,1240
2020-05-25,1032,1032
2020-05-26,649,649
2020-05-27,1673,1673
2020-05-28,1466,1466
2020-05-29,1837,1837
2020-05-30,1727,1727
2020-05-31,1716,1716
2020-06-01,1674,1674
2020-06-02,1455,1455
2020-06-03,1713,1713
2020-06-04,3267,3267
2020-06-05,2642,2642
2020-06-06,2539,2539
2020-06-07,2312,2312
2020-06-08,2594,2594
2020-06-09,2112,2112
2020-06-10,2430,2430
2020-06-11,3147,3147
2020-06-12,3359,3359
2020-06-13,3809,3809
2020-06-14,4302,4302
2020-06-15,3495,3495
2020-06-16,2801,2801
2020-06-17,4078,4078
2020-06-18,3478,3478
2020-06-19,3825,3825
2020-06-20,4966,4966
2020-06-21,4621,4621
2020-06-22,4288,4288
2020-06-23,4518,4518
2020-06-24,5688,5688
2020-06-25,6579,6579
2020-06-26,6215,6215
2020-06-27,7210,7210
2020-06-28,6334,6334
2020-06-29,6130,6130
2020-06-30,6945,6945
2020-07-01,8124,8124
2020-07-02,8728,8728
2020-07-03,9063,9063
2020-07-04,10853,10853
2020-07-05,8773,8773
2020-07-06,8971,8971
2020-07-07,10134,10134
2020-07-08,8810,8810
2020-07-09,13674,13674
2020-07-10,12348,12348
2020-07-11,13497,13497
2020-07-12,12058,12058
2020-07-13,11554,11554
2020-07-14,10496,10496
2020-07-15,12757,12757
2020-07-16,13172,13172
2020-07-17,13373,13373
2020-07-18,13285,13285
2020-07-19,13449,13449
2020-07-20,9300,9300
2020-07-21,8170,8170
2020-07-22,13150,13150
2020-07-23,13104,13104
2020-07-24,13944,13944
2020-07-25,12204,12204
2020-07-26,11233,11233
2020-07-27,7096,7096
2020-07-28,7232,7232
2020-07-29,11362,11362
2020-07-30,11046,11046
2020-07-31,11014,11014
2020-08-01,10107,10107
2020-08-02,8195,8195
2020-08-03,5377,5377
2020-08-04,4456,4456
2020-08-05,8559,8559
2020-08-06,8307,8307
2020-08-07,7292,7292
2020-08-08,7712,7712
2020-08-09,6671,6671
2020-08-10,3739,3739
2020-08-11,2511,2511
2020-08-12,2810,2810
2020-08-13,3946,3946
2020-08-14,6275,6275
2020-08-15,4513,4513
2020-08-16,3692,3692
2020-08-17,2541,2541
2020-08-18,2258,2258
2020-08-19,3916,3916
2020-08-20,3880,3880
2020-08-21,3398,3398
2020-08-22,3707,3707
2020-08-23,2728,2728
2020-08-24,1677,1677
2020-08-25,1567,1567
2020-08-26,2684,2684
2020-08-27,2585,2585
2020-08-28,1846,1846
2020-08-29,2419,2419
2020-08-30,2505,2505
2020-08-31,1985,1985
2020-09-01,1218,1218
2020-09-02,2336,2336
2020-09-03,2420,2420
2020-09-04,2063,2063
2020-09-05,1806,1806
2020-09-06,1633,1633
2020-09-07,845,845
2020-09-08,1079,1079
2020-09-09,1990,1990
2020-09-10,2007,2007
2020-09-11,1960,1960
2020-09-12,1816,1816
2020-09-13,1579,1579
2020-09-14,956,956
2020-09-15,772,772
2020-09-16,1923,1923
2020-09-17,2128,2128
2020-09-18,2055,2055
2020-09-19,2029,2029
2020-09-20,1555,1555
2020-09-21,725,725
2020-09-22,1346,1346
2020-09-23,1906,1906
2020-09-24,1861,1861
2020-09-25,1480,1480
2020-09-26,969,969
2020-09-27,1268,1268
2020-09-28,903,903
2020-09-29,903,903
2020-09-30,1767,1767
2020-10-01,1745,1745
2020-10-02,1749,1749
2020-10-03,1883,1883
2020-10-04,1573,1573
2020-10-05,926,926
2020-10-06,1027,1027
2020-10-07,1913,1913
2020-10-08,1736,1736
2020-10-09,1461,1461
2020-10-10,2544,2544
2020-10-11,1575,1575
2020-10-12,888,888
2020-10-13,1178,1178
2020-10-14,1877,1877
2020-10-15,1770,1770
2020-10-16,2019,2019
2020-10-17,1928,1928
2020-10-18,1662,1662
2020-10-19,1461,1461
2020-10-20,1050,1050
2020-10-21,2055,2055
2020-10-22,2156,2156
2020-10-23,1897,1897
2020-10-24,1834,1834
2020-10-25,1622,1622
2020-10-26,891,891
2020-10-27,1092,1092
2020-10-28,1863,1863
2020-10-29,2056,2056
2020-10-30,1912,1912
2020-10-31,1770,1770
2020-11-01,1371,1371
2020-11-02,772,772
2020-11-03,1241,1241
2020-11-04,1712,1712
2020-11-05,1866,1866
2020-11-06,1761,1761
2020-11-07,1731,1731
2020-11-08,1372,1372
2020-11-09,1247,1247
2020-11-10,1729,1729
2020-11-11,2140,2140
2020-11-12,2338,2338
2020-11-13,2213,2213
2020-11-14,2237,2237
2020-11-15,1842,1842
2020-11-16,1245,1245
2020-11-17,1987,1987
2020-11-18,2888,2888
2020-11-19,2514,2514
2020-11-20,3105,3105
2020-11-21,2646,2646
2020-11-22,2270,2270
2020-11-23,2080,2080
2020-11-24,2493,2493
2020-11-25,3250,3250
2020-11-26,3069,3069
2020-11-27,3370,3370
2020-11-28,3198,3198
2020-11-29,2563,2563
2020-11-30,2302,2302
2020-12-01,2295,2295
2020-12-02,4173,4173
2020-12-03,4400,4400
2020-12-04,4932,4932
2020-12-05,4645,4645
2020-12-06,4116,4116
2020-12-07,3313,3313
2020-12-08,4011,4011
2020-12-09,6709,6709
2020-12-10,8166,8166
2020-12-11,8319,8319
2020-12-12,7882,7882
2020-12-13,7999,7999
2020-12-14,5163,5163
2020-12-15,7552,7552
2020-12-16,10008,10008
2020-12-17,9126,9126
2020-12-18,8725,8725
2020-12-19,10939,10939
2020-12-20,9445,9445
2020-12-21,8789,8789
2020-12-22,9501,9501
2020-12-23,14046,14046
2020-12-24,14305,14305
2020-12-25,14796,14796
2020-12-26,11552,11552
2020-12-27,9502,9502
2020-12-28,7458,7458
2020-12-29,9580,9580
2020-12-30,17710,17710
2020-12-31,18000,18000
2021-01-01,16726,16726
2021-01-02,15002,15002
2021-01-03,11859,11859
2021-01-04,12601,12601
2021-01-05,14410,14410
2021-01-06,21832,21832
2021-01-07,20999,20999
2021-01-08,21980,21980
2021-01-09,21606,21606
2021-01-10,17421,17421
2021-01-11,15046,15046
2021-01-12,13105,13105
2021-01-13,18555,18555
2021-01-14,18503,18503
2021-01-15,14880,14880
2021-01-16,13973,13973
2021-01-17,12267,12267
2021-01-18,9010,9010
2021-01-19,9780,9780
2021-01-20,12710,12710
2021-01-21,11381,11381
2021-01-22,11761,11761
2021-01-23,12271,12271
2021-01-24,8147,8147
2021-01-25,4551,4551
2021-01-26,6041,6041
2021-01-27,7070,7070
2021-01-28,7150,7150
2021-01-29,6141,6141
2021-01-30,5297,5297
2021-01-31,4525,4525
2021-02-01,2548,2548
2021-02-02,2649,2649
2021-02-03,4058,4058
2021-02-04,3751,3751
2021-02-05,3749,3749
2021-02-06,3184,3184
2021-02-07,2435,2435
2021-02-08,1376,1376
2021-02-09,1742,1742
2021-02-10,3159,3159
2021-02-11,2488,2488
2021-02-12,2781,2781
2021-02-13,2382,2382
2021-02-14,1744,1744
2021-02-15,1102,1102
2021-02-16,1210,1210
2021-02-17,2320,2320
2021-02-18,2327,2327
2021-02-19,1911,1911
2021-02-20,1690,1690
2021-02-21,1429,1429
2021-02-22,792,792
2021-02-23,998,998
2021-02-24,1862,1862
2021-02-25,1676,1676
2021-02-26,1654,1654
2021-02-27,1447,1447
2021-02-28,1168,1168
2021-03-01,566,566
2021-03-02,856,856
2021-03-03,1447,1447
2021-03-04,1404,1404
2021-03-05,1313,1313
2021-03-06,1227,1227
2021-03-07,862,862
2021-03-08,638,638
2021-03-09,991,991
2021-03-10,1477,1477
2021-03-11,1474,1474
2021-03-12,1225,1225
2021-03-13,1541,1541
2021-03-14,1006,1006
2021-03-15,613,613
2021-03-16,933,933
2021-03-17,1531,1531
2021-03-18,1464,1464
2021-03-19,1462,1462
2021-03-20,1378,1378
2021-03-21,1051,1051
2021-03-22,599,599
2021-03-23,510,510
2021-03-24,1048,1048
2021-03-25,1554,1554
2021-03-26,1516,1516
2021-03-27,1387,1387
2021-03-28,965,965
2021-03-29,548,548
2021-03-30,756,756
2021-03-31,1422,1422
2021-04-01,1294,1294
2021-04-02,1273,1273
2021-04-03,777,777
2021-04-04,463,463
2021-04-05,452,452
2021-04-06,437,437
2021-04-07,756,756
2021-04-08,1366,1366
2021-04-09,1267,1267
2021-04-10,1285,1285
2021-04-11,931,931
2021-04-12,655,655
2021-04-13,847,847
2021-04-14,1599,1599
2021-04-15,1372,1372
2021-04-16,1424,1424
2021-04-17,1325,1325
2021-04-18,1089,1089
2021-04-19,744,744
2021-04-20,853,853
2021-04-21,1569,1569
2021-04-22,1413,1413
2021-04-23,1637,1637
2021-04-24,1385,1385
2021-04-25,1101,1101
2021-04-26,849,849
2021-04-27,880,880
2021-04-28,1250,1250
2021-04-29,1086,1086
2021-04-30,1674,1674
2021-05-01,1632,1632
2021-05-02,1222,1222
2021-05-03,897,897
2021-05-04,1187,1187
2021-05-05,2073,2073
2021-05-06,2149,2149
2021-05-07,2256,2256
2021-05-08,0,0
2021-05-09,3969,3969
2021-05-10,1129,1129
2021-05-11,1548,1548
2021-05-12,2759,2759
2021-05-13,3221,3221
2021-05-14,3141,3141
2021-05-15,2750,2750
2021-05-16,2585,2585
2021-05-17,1757,1757
2021-05-18,2355,2355
2021-05-19,3522,3522
2021-05-20,3641,3641
2021-05-21,3332,3332
2021-05-22,4236,4236
2021-05-23,2894,2894
2021-05-24,2383,2383
2021-05-25,0,0
2021-05-26,7707,7707
2021-05-27,4422,4422
2021-05-28,4574,4574
2021-05-29,4519,4519
2021-05-30,0,0
2021-05-31,6547,6547
2021-06-01,3614,3614
2021-06-02,5782,5782
2021-06-03,5360,5360
2021-06-04,5668,5668
2021-06-05,5450,5450
2021-06-06,5073,5073
2021-06-07,3285,3285
2021-06-08,4209,4209
2021-06-09,8881,8881
2021-06-10,9147,9147
2021-06-11,8020,8020
2021-06-12,9319,9319
2021-06-13,7657,7657
2021-06-14,5548,5548
2021-06-15,8436,8436
2021-06-16,13246,13246
2021-06-17,11767,11767
2021-06-18,10510,10510
2021-06-19,13575,13575
2021-06-20,13155,13155
2021-06-21,9160,9160
2021-06-22,11093,11093
2021-06-23,17493,17493
2021-06-24,16078,16078
2021-06-25,18762,18762
2021-06-26,17956,17956
2021-06-27,15036,15036
2021-06-28,12222,12222
2021-06-29,13347,13347
2021-06-30,19506,19506
2021-07-01,21584,21584
2021-07-02,24270,24270
2021-07-03,26485,26485
2021-07-04,16585,16585
2021-07-05,12513,12513
2021-07-06,15500,15500
2021-07-07,21427,21427
2021-07-08,22910,22910
2021-07-09,22441,22441
2021-07-10,21610,21610
2021-07-11,16302,16302
2021-07-12,11182,11182
2021-07-13,12535,12535
2021-07-14,17489,17489
2021-07-15,16435,16435
2021-07-16,15939,15939
2021-07-17,14701,14701
2021-07-18,11215,11215
2021-07-19,7209,7209
2021-07-20,8928,8928
2021-07-21,16240,16240
2021-07-22,14858,14858
2021-07-23,13719,13719
